1670001677015	>>>	T|ADC|SOL,44,11,13,33|ANG,298|MAG,1,1,0,1|WHL,0|MPU,ACC,-43.95,-0.12,958.80|MPU,GYR,0.01,-0.20,0.13|MPU,MAG,3560.36,57.47,-461.04
1670001678918	<<<	[C|ADC|MAG|X|+]
1670001681954	<<<	[C|ADC|T]
1670001682009	>>>	T|ADC|SOL,39,13,13,36|ANG,292|MAG,0,1,0,1|WHL,0|MPU,ACC,-42.85,0.67,951.97|MPU,GYR,-0.08,0.00,0.18|MPU,MAG,3560.36,-167.44,199.18
1670001685636	<<<	[C|ADC|MAG|X|-]
1670001686953	<<<	[C|ADC|T]
1670001687010	>>>	T|ADC|SOL,38,9,16,32|ANG,291|MAG,1,0,0,1|WHL,0|MPU,ACC,-40.28,1.71,958.86|MPU,GYR,-0.08,-0.11,0.21|MPU,MAG,3560.36,-167.44,-139.50
1670001687572	<<<	[C|ADC|MAG|Y|-]
1670001691958	<<<	[C|ADC|T]
1670001692016	>>>	T|ADC|SOL,41,10,15,31|ANG,293|MAG,1,0,1,0|WHL,0|MPU,ACC,-43.82,-0.31,955.87|MPU,GYR,0.01,-0.06,0.18|MPU,MAG,3560.36,57.47,-458.41
1670001693162	<<<	[C|ADC|MAG|X|-]
1670001694903	<<<	[C|ADC|MAG|X|0]
1670001696786	<<<	[C|ADC|MAG|Y|0]
1670001696951	<<<	[C|ADC|T]
1670001697006	>>>	T|ADC|SOL,43,8,15,32|ANG,310|MAG,1,1,1,1|WHL,0|MPU,ACC,-44.86,1.77,955.08|MPU,GYR,-0.18,-0.09,0.12|MPU,MAG,-470.00,-2714.35,-125.00
1670001701959	<<<	[C|ADC|T]
1670001702016	>>>	T|ADC|SOL,42,9,18,32|ANG,290|MAG,1,1,1,1|WHL,0|MPU,ACC,-46.08,0.61,955.57|MPU,GYR,0.00,-0.14,0.18|MPU,MAG,3560.36,-167.44,-135.54
1670001706956	<<<	[C|ADC|T]
1670001707015	>>>	T|ADC|SOL,36,14,17,28|ANG,304|MAG,1,1,1,1|WHL,0|MPU,ACC,-45.23,0.12,956.18|MPU,GYR,0.00,-0.17,0.20|MPU,MAG,3560.36,57.47,-450.50
