,Time,Subsystems,IVBatt,I+5V,IRadio,ISW1_5V,ISW2_5V,ISW3_5V,I7,ICharger,I_E,DA,DB,DC,C,ISW1-5V,ISW2-5V,ISW3-5V
0,38,EPS,"[7.25, -72.9]","[4.99, 88.9]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.88, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.0, 0.8]","[1.1, 1.0]","[1.04, 0.4]"
0,39,EPS,"[7.25, -71.4]","[5.0, 87.1]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.94, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.6]","[1.1, 1.0]","[1.04, 0.4]"
0,40,EPS,"[7.25, -71.5]","[5.0, 87.5]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.84, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.6]","[1.1, 0.9]","[1.04, 0.4]"
0,41,EPS,"[7.25, -71.6]","[4.99, 86.1]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.88, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.6]","[1.1, 0.9]","[1.04, 0.4]"
0,42,EPS,"[7.25, -71.7]","[5.0, 87.2]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.81, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.0, 0.6]","[1.1, 0.8]","[1.04, 0.4]"
0,43,EPS,"[7.25, -71.6]","[4.99, 87.3]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.6]","[1.1, 1.1]","[1.04, 0.3]"
0,44,EPS,"[7.25, -70.9]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.88, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.8]","[1.1, 1.0]","[1.04, 0.4]"
0,45,EPS,"[7.25, -71.5]","[4.99, 85.3]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.94, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.5]","[1.1, 0.7]","[1.04, 0.3]"
0,46,EPS,"[7.25, -71.2]","[4.99, 85.8]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.94, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.7]","[1.04, 0.3]"
0,47,EPS,"[7.25, -71.9]","[4.99, 87.1]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.91, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 1.1]","[1.04, 0.2]"
0,48,EPS,"[7.26, -71.1]","[4.99, 86.8]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.84, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.9]","[1.1, 0.8]","[1.04, 0.2]"
0,49,EPS,"[7.26, -71.0]","[4.99, 86.4]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.91, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.7]","[1.04, 0.4]"
0,50,EPS,"[7.25, -70.7]","[4.99, 85.8]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.91, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.7]","[1.04, 0.2]"
0,51,EPS,"[7.25, -71.6]","[4.99, 87.2]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.94, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.4]","[1.1, 0.8]","[1.04, 0.5]"
0,52,EPS,"[7.25, -71.2]","[5.0, 86.7]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.94, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.8]","[1.1, 0.7]","[1.04, 0.4]"
0,53,EPS,"[7.25, -71.0]","[4.99, 85.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.8]","[1.04, 0.1]"
0,54,EPS,"[7.25, -71.2]","[4.99, 85.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.03, 7.01, 1023.0]",[22.63],[22.5],[0.0],"[2.01, 0.4]","[1.1, 0.8]","[1.04, 0.2]"
0,55,EPS,"[7.25, -71.0]","[4.99, 86.8]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.88, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.5]","[1.1, 1.0]","[1.04, 0.1]"
0,56,EPS,"[7.25, -71.2]","[5.0, 86.9]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.8]","[1.04, 0.4]"
0,57,EPS,"[7.25, -70.7]","[4.99, 85.4]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.8]","[1.04, 0.1]"
0,58,EPS,"[7.25, -70.7]","[4.99, 85.5]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 0.7]","[1.04, 0.5]"
0,59,EPS,"[7.25, -71.5]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.8]","[1.1, 1.0]","[1.04, 0.1]"
0,60,EPS,"[7.25, -71.5]","[4.99, 86.9]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.3]","[1.1, 1.1]","[1.04, 0.2]"
0,61,EPS,"[7.25, -71.1]","[4.99, 86.6]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 1.0]","[1.04, 0.2]"
0,62,EPS,"[7.25, -71.1]","[5.0, 85.6]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 1.0]","[1.04, 0.3]"
0,63,EPS,"[7.25, -71.0]","[4.99, 86.5]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.3]","[1.1, 1.0]","[1.04, 0.1]"
0,64,EPS,"[7.25, -71.2]","[5.0, 86.3]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.8]","[1.04, 0.2]"
0,65,EPS,"[7.25, -71.5]","[5.0, 86.0]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 1.0]","[1.04, 0.2]"
0,66,EPS,"[7.25, -71.0]","[4.99, 86.2]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.6]","[1.04, 0.3]"
0,67,EPS,"[7.25, -71.2]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.8]","[1.1, 0.8]","[1.04, 0.3]"
0,68,EPS,"[7.25, -71.4]","[5.0, 86.7]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 1.2]","[1.04, 0.0]"
0,69,EPS,"[7.25, -71.1]","[5.0, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 1.1]","[1.04, 0.2]"
